"Ukazatel,""Území"",""Roky"",""Druh dopravy"",""Hodnota"""
"Přepravní výkon (mil. tkm),""Česko"",""2005"",""Železniční doprava"",""14866.016"""
"Přepravní výkon (mil. tkm),""Česko"",""2005"",""Silniční doprava"",""43446.949"""
"Přepravní výkon (mil. tkm),""Česko"",""2005"",""Vnitrozemská vodní doprava"",""780.588"""
"Přepravní výkon (mil. tkm),""Česko"",""2005"",""Letecká doprava"",""44.808"""
"Přepravní výkon (mil. tkm),""Česko"",""2005"",""Potrubní přeprava ropy"",""2258.991"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Nákladní doprava celkem"",""554993.939"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Železniční doprava"",""97491.36"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Silniční doprava"",""444573.694"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Vnitrozemská vodní doprava"",""2031.83"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Letecká doprava"",""22.154"""
"Přepravené věci (tis. tun),""Česko"",""2006"",""Potrubní přeprava ropy"",""10874.901"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Nákladní doprava celkem"",""69303.984"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Železniční doprava"",""15778.52"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Silniční doprava"",""50368.798"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Vnitrozemská vodní doprava"",""818.033"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Letecká doprava"",""47.458"""
"Přepravní výkon (mil. tkm),""Česko"",""2006"",""Potrubní přeprava ropy"",""2291.175"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Nákladní doprava celkem"",""565708.12"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Železniční doprava"",""99776.87"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Silniční doprava"",""453537.162"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Vnitrozemská vodní doprava"",""2241.69"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Letecká doprava"",""21.596"""
"Přepravené věci (tis. tun),""Česko"",""2007"",""Potrubní přeprava ropy"",""10130.802"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Nákladní doprava celkem"",""67463.05"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Železniční doprava"",""16304.01"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Silniční doprava"",""48141.273"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Vnitrozemská vodní doprava"",""898.266"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Letecká doprava"",""40.76"""
"Přepravní výkon (mil. tkm),""Česko"",""2007"",""Potrubní přeprava ropy"",""2078.741"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Nákladní doprava celkem"",""540730.805"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Železniční doprava"",""95073.02"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Silniční doprava"",""431854.765"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Vnitrozemská vodní doprava"",""1905.149"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Letecká doprava"",""20.438"""
"Přepravené věci (tis. tun),""Česko"",""2008"",""Potrubní přeprava ropy"",""11877.433"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Nákladní doprava celkem"",""69528.526"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Železniční doprava"",""15437.148"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Silniční doprava"",""50876.966"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Vnitrozemská vodní doprava"",""862.746"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Letecká doprava"",""37.086"""
"Přepravní výkon (mil. tkm),""Česko"",""2008"",""Potrubní přeprava ropy"",""2314.58"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Nákladní doprava celkem"",""458328.967"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Železniční doprava"",""76715.15"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Silniční doprava"",""370114.669"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Vnitrozemská vodní doprava"",""1647.438"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Letecká doprava"",""15.044"""
"Přepravené věci (tis. tun),""Česko"",""2009"",""Potrubní přeprava ropy"",""9836.666"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Nákladní doprava celkem"",""60571.406"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Železniční doprava"",""12791.449"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Silniční doprava"",""44954.585"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Vnitrozemská vodní doprava"",""640.722"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Letecká doprava"",""28.718"""
"Přepravní výkon (mil. tkm),""Česko"",""2009"",""Potrubní přeprava ropy"",""2155.932"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Nákladní doprava celkem"",""451671.225"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Železniční doprava"",""82899.81"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Silniční doprava"",""355910.782"""
